 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
207,mCherry_D13_MET+CR_P5_1.tif:0510-0724,3229,6.451,1.762,6,0,15,484.119,6
208,mCherry_D13_MET+CR_P5_1.tif:Background,25420,5.158,1.398,5,0,16,658,5
209,mCherry_D13_MET+CR_P5_2.tif:0216-0402,3717,6.328,1.668,6,1,12,531.896,6
210,mCherry_D13_MET+CR_P5_2.tif:Background,18655,5.319,1.399,5,0,13,592,5
211,mCherry_D13_MET+NMN+CR_P1.tif:0631-0630,3710,4.98,1.487,5,0,10,534.35,5
212,mCherry_D13_MET+NMN+CR_P1.tif:0547-0718,3387,4.926,1.432,5,0,10,565.711,5
213,mCherry_D13_MET+NMN+CR_P1.tif:Background,21855,4.181,1.354,4,0,13,592,4
214,mCherry_D13_MET+NMN+CR_P2_1.tif:0612-0614,5733,6.089,1.886,6,0,14,694.861,6
215,mCherry_D13_MET+NMN+CR_P2_1.tif:Background,42900,4.836,1.381,5,0,10,830,5
216,mCherry_D13_MET+NMN+CR_P2_2.tif:0601-0694,4956,6.47,1.786,6,1,13,683.488,6
217,mCherry_D13_MET+NMN+CR_P2_2.tif:Background,42560,4.886,1.387,5,0,14,906,5
218,mCherry_D13_MET+NMN+CR_P3.tif:0772-0302,4041,6.304,1.825,6,1,13,598.269,6
219,mCherry_D13_MET+NMN+CR_P3.tif:0200-0860,5118,7.111,1.986,7,1,15,640.986,7
220,mCherry_D13_MET+NMN+CR_P3.tif:0898-0858,4896,6.635,1.949,6,0,21,678.047,6
221,mCherry_D13_MET+NMN+CR_P3.tif:Background,215864,5.195,1.419,5,0,72,1860,5
222,mCherry_D13_MET+NMN+CR_P4.tif:0505-0446,5157,6.337,1.957,6,1,13,675.254,6
223,mCherry_D13_MET+NMN+CR_P4.tif:0480-1113,4439,7.257,2.06,7,2,17,636.143,7
224,mCherry_D13_MET+NMN+CR_P4.tif:Background,257070,5.202,1.411,5,0,21,2374,5
225,mCherry_D13_MET+NMN+CR_P5.tif:0505-0643,3896,11.34,2.081,11,6,21,635.537,11
